Feature,AUROC,AUPRC,F1,ACC
Baseline,0.9657138665411936,0.9522416685060378,0.8706214500252847,0.8965004433775516
Nanomaterials,0.7780321152636115,0.6998734826591684,0.6065632221765005,0.5025778431357448
Protein,0.9402948356282507,0.9188903856495493,0.8237284244913154,0.8487645582495382
Incubation,0.9271444496453113,0.8982312834499324,0.8059283787750583,0.8363101258311412
Separation,0.9292989561953169,0.9068844807728325,0.8133080339797976,0.846113234590212
Proteomic,0.794471153172596,0.7425134314507262,0.6418277089203779,0.5817628033630698
Research purpose,0.9174095073819969,0.884841112027076,0.7732497544273635,0.7826668620396989
